GROUP_SET,GROUP_ID,lineup,TEAM_ID,team,GP,W,L,W_PCT,minutes,E_OFF_RATING,off_rtg,E_DEF_RATING,def_rtg,E_NET_RATING,net_rtg,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,OFF_RATING_RANK,DEF_RATING_RANK,NET_RATING_RANK,AST_PCT_RANK,AST_TO_RANK,AST_RATIO_RANK,OREB_PCT_RANK,DREB_PCT_RANK,REB_PCT_RANK,TM_TOV_PCT_RANK,EFG_PCT_RANK,TS_PCT_RANK,PACE_RANK,PIE_RANK,SUM_TIME_PLAYED
Lineups,-201942-202696-203897-1627936-1629632-,D. DeRozan - N. Vucevic - Z. LaVine - A. Caruso - C. White,1610612741,CHI,18,8,10,0.444,227.0,106.9,106.6,111.7,109.4,-4.8,-2.9,0.648,1.76,18.6,0.169,0.715,0.455,0.14,0.544,0.582,99.2,100.39,83.66,472,0.472,99,219,15824,7891,33,7071,8426,8490,6574,3695,6274,8203,7414,9073,9684,6590,6898,10358,7896,680595
Lineups,-203915-1628969-1629651-1629661-1630560-,S. Dinwiddie - M. Bridges - N. Claxton - C. Johnson - C. Thomas,1610612751,BKN,24,10,14,0.417,224.0,105.3,105.6,124.2,122.7,-18.9,-17.0,0.626,2.13,18.5,0.188,0.681,0.42,0.117,0.52,0.549,101.7,102.17,85.14,478,0.398,45,128,15879,7950,34,7142,10191,9719,6773,2387,6283,8078,7967,10015,8728,7006,7779,9479,9323,672305
Lineups,-201142-201569-203994-1626164-1628960-,K. Durant - E. Gordon - J. Nurkic - D. Booker - G. Allen,1610612756,PHX,36,26,10,0.722,220.0,115.0,115.1,103.0,102.8,12.1,12.3,0.683,2.06,21.7,0.225,0.74,0.527,0.146,0.605,0.634,102.7,102.8,85.66,471,0.598,18,14,15824,5300,35,6013,7806,5775,5416,2421,4322,7362,7169,5769,10238,5164,5453,9257,5398,659785
Lineups,-201587-202699-203954-1629001-1630178-,N. Batum - T. Harris - J. Embiid - D. Melton - T. Maxey,1610612755,PHI,14,12,2,0.857,219.0,136.1,135.2,102.2,101.3,33.9,34.0,0.658,3.22,21.6,0.318,0.769,0.566,0.097,0.623,0.672,102.9,103.73,86.44,474,0.657,183,79,12377,4848,36,3504,7748,3877,6523,1071,4330,5627,6242,4894,7871,4938,4515,8647,4507,656645
Lineups,-201144-203497-1629675-1630162-1630183-,M. Conley - R. Gobert - N. Reid - A. Edwards - J. McDaniels,1610612750,MIN,41,30,11,0.732,200.0,104.5,102.1,103.7,102.1,0.9,0.0,0.617,1.54,17.6,0.228,0.702,0.478,0.153,0.541,0.563,99.7,101.64,84.7,425,0.517,9,6,15844,5290,37,7330,7776,8295,6928,3992,6843,7335,7694,8637,10352,6656,7399,9755,6887,601435
Lineups,-1628392-1628404-1628973-1628978-1630173-,I. Hartenstein - J. Hart - J. Brunson - D. DiVincenzo - P. Achiuwa,1610612752,NYK,12,8,4,0.667,189.0,118.8,119.5,112.4,113.0,6.4,6.4,0.605,2.2,18.9,0.33,0.726,0.525,0.124,0.544,0.578,94.3,93.77,78.14,370,0.553,265,219,15028,5383,38,5506,8897,6265,7023,2346,6129,5585,7333,5801,8923,6589,7007,13026,6190,566675
Lineups,-1627832-1628415-1630224-1631095-1641708-,F. VanVleet - D. Brooks - J. Green - J. Smith Jr. - A. Thompson,1610612745,HOU,15,9,6,0.6,183.0,121.3,122.3,116.8,117.5,4.5,4.8,0.611,2.62,20.6,0.251,0.742,0.488,0.11,0.594,0.616,101.2,100.46,83.71,381,0.512,154,164,15552,6018,39,5045,9534,6376,6981,1868,4799,6430,7151,8444,8321,5479,5942,10346,6960,547585
Lineups,-202710-1626179-1628389-1629130-1631107-,J. Butler - T. Rozier - B. Adebayo - D. Robinson - N. Jovic,1610612748,MIA,14,7,7,0.5,181.0,111.1,109.1,115.4,115.8,-4.3,-6.8,0.677,2.5,20.8,0.14,0.785,0.464,0.112,0.561,0.589,98.6,99.3,82.75,375,0.476,183,280,15669,6304,40,6812,9262,8801,5443,1906,4679,8714,6043,8913,8647,6240,6719,10901,7832,542340
Lineups,-203944-1628384-1628392-1628973-1628978-,J. Randle - O. Anunoby - I. Hartenstein - J. Brunson - D. DiVincenzo,1610612752,NYK,10,9,1,0.9,180.0,124.7,126.6,110.4,110.0,14.4,16.6,0.665,2.13,21.2,0.284,0.78,0.544,0.142,0.617,0.651,102.3,101.73,84.77,380,0.556,388,164,4804,4812,41,4488,8458,5413,6510,2386,4545,6159,6067,5398,9711,4986,5088,9684,6088,538620
Lineups,-203991-1627749-1629027-1629631-1630180-,C. Capela - D. Murray - T. Young - D. Hunter - S. Bey,1610612737,ATL,16,8,8,0.5,177.0,118.5,118.4,116.2,115.5,2.3,2.9,0.577,2.2,17.9,0.354,0.724,0.524,0.118,0.539,0.569,106.1,106.49,88.74,391,0.503,133,219,15743,6304,42,5597,9235,6507,7555,2346,6704,4391,7337,5844,8729,6674,7225,7309,7101,530735
